PWSID,PWSName,FacilityID,FacilityName,FacilityWaterType,Contaminant,sample_events,detections,latest_date,max_result_ng_L,avg_detected_ng_L
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,91813,Well 09-01 Blended (GWRMP),MX,PFBA,4,0,2024-04-25,,
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,91813,Well 09-01 Blended (GWRMP),MX,PFBS,4,1,2024-04-25,3.6,3.6
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,91813,Well 09-01 Blended (GWRMP),MX,PFHxS,4,4,2024-04-25,7.9,6.1
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,91813,Well 09-01 Blended (GWRMP),MX,PFOA,4,0,2024-04-25,,
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,91813,Well 09-01 Blended (GWRMP),MX,PFOS,4,4,2024-04-25,11.0,8.38
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,91813,Well 09-01 Blended (GWRMP),MX,PFPeA,4,0,2024-04-25,,
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,91801,Well 10-1 Blended,MX,PFBA,4,0,2024-04-15,,
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,91801,Well 10-1 Blended,MX,PFBS,4,3,2024-04-15,3.9,3.57
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,91801,Well 10-1 Blended,MX,PFHxS,4,0,2024-04-15,,
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,91801,Well 10-1 Blended,MX,PFOA,4,0,2024-04-15,,
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,91801,Well 10-1 Blended,MX,PFOS,4,0,2024-04-15,,
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,91801,Well 10-1 Blended,MX,PFPeA,4,3,2024-04-15,3.6,3.43
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,91802,Well 14-1 (GWRMP),GW,PFBA,2,0,2024-07-16,,
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,91802,Well 14-1 (GWRMP),GW,PFBS,2,1,2024-07-16,3.8,3.8
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,91802,Well 14-1 (GWRMP),GW,PFHxS,2,1,2024-07-16,5.7,5.7
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,91802,Well 14-1 (GWRMP),GW,PFOA,2,1,2024-07-16,4.0,4.0
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,91802,Well 14-1 (GWRMP),GW,PFOS,2,0,2024-07-16,,
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,91802,Well 14-1 (GWRMP),GW,PFPeA,2,0,2024-07-16,,
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,91827,Well 19-01 Blended,MX,PFBA,4,0,2024-07-10,,
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,91827,Well 19-01 Blended,MX,PFBS,4,3,2024-07-10,4.2,3.97
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,91827,Well 19-01 Blended,MX,PFHxS,4,4,2024-07-10,9.8,7.77
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,91827,Well 19-01 Blended,MX,PFOA,4,2,2024-07-10,4.8,4.55
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,91827,Well 19-01 Blended,MX,PFOS,4,4,2024-07-10,12.0,10.38
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,91827,Well 19-01 Blended,MX,PFPeA,4,4,2024-07-10,3.6,3.45
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,91809,Well 20-1,GW,PFBA,2,0,2024-01-31,,
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,91809,Well 20-1,GW,PFBS,2,0,2024-01-31,,
